/home/sww35/openresearch/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 73.12it/s]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 69.49it/s]
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Caching is incompatible with gradient checkpointing in Qwen3DecoderLayer. Setting `past_key_values=None`.
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[search_qa:sdar:qwen3_1b7] step 127/150 loss=-14.5000 reward=0.000 gate=1.000 opsd=-145.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 128/150 loss=-14.8750 reward=0.000 gate=1.000 opsd=-149.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 129/150 loss=-14.8125 reward=0.000 gate=1.000 opsd=-148.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 130/150 loss=-14.6875 reward=0.000 gate=1.000 opsd=-147.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 131/150 loss=-14.8125 reward=0.000 gate=1.000 opsd=-148.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 132/150 loss=-14.6875 reward=0.000 gate=1.000 opsd=-147.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 133/150 loss=-15.0000 reward=0.000 gate=1.000 opsd=-150.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 134/150 loss=-14.6875 reward=0.000 gate=1.000 opsd=-147.0000 wall=4.7s
[search_qa:sdar:qwen3_1b7] step 135/150 loss=-14.8750 reward=0.000 gate=1.000 opsd=-149.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 136/150 loss=-14.8125 reward=0.000 gate=1.000 opsd=-148.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 137/150 loss=-12.8125 reward=0.000 gate=1.000 opsd=-128.0000 wall=4.6s
[search_qa:sdar:qwen3_1b7] step 138/150 loss=-14.8125 reward=0.000 gate=1.000 opsd=-148.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 139/150 loss=-14.5000 reward=0.000 gate=1.000 opsd=-145.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 140/150 loss=-14.6875 reward=0.000 gate=1.000 opsd=-147.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 141/150 loss=-14.3750 reward=0.000 gate=1.000 opsd=-144.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 142/150 loss=-15.0000 reward=0.000 gate=1.000 opsd=-150.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 143/150 loss=-14.8125 reward=0.000 gate=1.000 opsd=-148.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 144/150 loss=-14.6875 reward=0.000 gate=1.000 opsd=-147.0000 wall=4.2s
[search_qa:sdar:qwen3_1b7] step 145/150 loss=-14.5000 reward=0.000 gate=1.000 opsd=-145.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 146/150 loss=-14.8750 reward=0.000 gate=1.000 opsd=-149.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 147/150 loss=-14.6875 reward=0.000 gate=1.000 opsd=-147.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 148/150 loss=-15.0000 reward=0.000 gate=1.000 opsd=-150.0000 wall=4.2s
[search_qa:sdar:qwen3_1b7] step 149/150 loss=-13.8750 reward=0.000 gate=1.000 opsd=-139.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 150/150 loss=-14.8125 reward=0.000 gate=1.000 opsd=-148.0000 wall=3.9s
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 74.49it/s]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 72.68it/s]
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[search_qa:grpo:qwen3_1b7] step 1/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.6s
[search_qa:grpo:qwen3_1b7] step 2/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.2s
[search_qa:grpo:qwen3_1b7] step 3/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.2s
[search_qa:grpo:qwen3_1b7] step 4/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.5s
[search_qa:grpo:qwen3_1b7] step 5/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.1s
[search_qa:grpo:qwen3_1b7] step 6/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.5s
[search_qa:grpo:qwen3_1b7] step 7/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.3s
[search_qa:grpo:qwen3_1b7] step 8/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.4s
[search_qa:grpo:qwen3_1b7] step 9/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.2s
[search_qa:grpo:qwen3_1b7] step 10/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.3s
[search_qa:grpo:qwen3_1b7] step 11/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.5s
[search_qa:grpo:qwen3_1b7] step 12/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.5s
[search_qa:grpo:qwen3_1b7] step 13/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.4s
[search_qa:grpo:qwen3_1b7] step 14/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.5s
[search_qa:grpo:qwen3_1b7] step 15/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.2s
[search_qa:grpo:qwen3_1b7] step 16/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.0s
[search_qa:grpo:qwen3_1b7] step 17/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.1s
[search_qa:grpo:qwen3_1b7] step 18/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=2.9s
[search_qa:grpo:qwen3_1b7] step 19/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.7s
[search_qa:grpo:qwen3_1b7] step 20/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.1s
[search_qa:grpo:qwen3_1b7] step 21/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=3.2s
[search_qa:grpo:qwen3_1b7] step 22/150 loss=-0.0045 reward=0.158 gate=0.000 opsd=-0.0000 wall=3.2s
[search_qa:grpo:qwen3_1b7] step 23/150 loss=-0.0000 reward=0.000 gate=1.000 opsd=-0.4453 wall=3.1s
[search_qa:grpo:qwen3_1b7] step 24/150 loss=-0.0000 reward=0.000 gate=1.000 opsd=-0.4316 wall=3.1s
